what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387212385495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212391249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212404193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212408137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212435545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212437249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212440176
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387212440410
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387212440520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1387212441473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387212442270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387212444926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212447114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212452583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212453677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212460467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387212460608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387212460702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1387212461655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387212462467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387212464796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212467629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387212474705
